Machine_ID,Avg_OOC_Rate,LOT_Count,Particle_yield_loss_Mean,Particle_loss_Qty,Total_Die_Qty,Move_Count,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index
B1_ETCH_03,21.7379,47,0.0036,20,16944,59,419,100.0,8.09839584491251,15.126050420168067,47.67009933704973
B1_DSCM_02,10.0776,671,0.0048,448,208750,830,419,46.35958395245171,100.0,20.168067226890756,46.61106047173699
B1_COAT_07,17.3174,188,0.0039,113,65338,216,419,79.66454901347416,31.285815589244304,16.386554621848738,44.67760457197802
B1_DEVP_03,15.4277,205,0.0044,119,67050,260,419,70.97143698333326,32.106100389060316,18.487394957983195,42.20475285433865
B1_PRRM_01,0.0,1,0.0238,1,42,1,419,0.0,0.0,100.0,40.0
B1_OVEN_01,13.335,132,0.0042,110,45525,143,419,61.34447209712071,21.792648101653985,17.64705882352941,35.955141988590846
B1_WFCL_02,4.4349,581,0.0044,377,204866,738,419,20.401694735922053,98.13902677424919,18.487394957983195,35.18344123241194
B1_DEVP_04,12.0763,163,0.005,78,45860,186,419,55.55412436343897,21.95315943806658,21.008403361344538,35.015642977526724
B1_AGST_11,12.6169,102,0.0032,67,49155,115,419,58.04102512202191,23.531920194721813,13.445378151260504,33.30094534825733
B1_OVEN_02,13.6671,125,0.0031,51,30326,132,419,62.872218567570926,14.510224811698642,13.025210084033612,33.26101642298154
B1_SCOP_09,11.345,280,0.0026,120,79156,322,419,52.189953951393655,37.90654886252563,10.924369747899158,32.82703925222226
B1_DSCM_03,8.6148,384,0.0037,168,110237,455,419,39.630323076286125,52.798646913390954,15.546218487394958,32.630346008150624
B1_SCOP_06,7.5527,215,0.0069,166,63533,255,419,34.74438653227773,30.420970925886888,28.99159663865546,31.578587453550657
B1_SCOP_03,9.0614,244,0.0031,137,75635,307,419,41.68479935964376,36.21950284608161,13.025210084033612,29.127904346687274
B1_PLAT_03,8.3651,178,0.0051,123,46960,191,419,38.48163806071423,22.480211587481076,21.428571428571427,28.46012611321048
B1_SCOP_08,5.0785,294,0.0052,202,88197,338,419,23.362422313102922,42.23843839239512,21.848739495798316,26.532152402039518
B1_STEP_04,3.1742,362,0.0036,252,134470,424,419,14.602146481490852,64.40960576499224,15.126050420168067,24.773199913662015
B1_DEVP_02,6.3187,224,0.003,144,78370,279,419,29.067665229852008,37.52994614485309,12.605042016806722,24.175072127634113
B1_SCOP_07,3.4493,251,0.0051,161,87748,309,419,15.86767811058106,42.02330528777048,21.428571428571427,23.32316087321509
B1_COAT_04,4.6628,96,0.0063,52,18694,111,419,21.450094075324664,8.936887900799203,26.47058823529412,20.955650504407355
B1_PRRM_05,3.2342,203,0.0055,132,51687,229,419,14.878162103975084,24.745098415010442,23.109243697478988,20.14398200358372
B1_THKZ_03,0.0043,349,0.0052,215,100974,426,419,0.019781119611370003,48.36038867700328,21.848739495798316,18.41948598156453
B1_AGST_08,3.1838,146,0.0049,130,43986,177,419,14.64630898108833,21.055254230791345,20.588235294117645,18.30486855624066
B1_AGST_09,1.6633,152,0.0053,98,61437,175,419,7.651613081300401,29.41669701209345,22.26890756302521,17.851547660148935
B1_ETCH_04,2.9787,94,0.0059,50,24239,135,419,13.702795578229725,11.593709872165897,24.789915966386552,17.715826592279694
B1_COAT_06,4.2625,110,0.003,75,46714,133,419,19.60860984731736,22.362343561339287,12.605042016806722,17.357929457917493
B1_AGST_10,4.4891,97,0.0046,45,10663,109,419,20.65102884823281,5.088928071755754,19.327731092436974,17.009289590619066
B1_ETCH_05,0.0,73,0.0081,61,30429,100,419,0.0,14.559576058416543,34.033613445378144,16.525360589834566
B1_SCOP_02,4.7857,74,0.003,42,23566,89,419,22.01546607537987,11.271249784387757,12.605042016806722,16.10245319375219
B1_STEP_03,1.8822,163,0.0048,50,28402,196,419,8.658610077330376,13.588362688540927,20.168067226890756,14.248343459396638
B1_ETCH_02,0.0,101,0.0066,78,31101,131,419,0.0,14.881557007877033,27.731092436974787,14.068748376365322
B1_COAT_03,3.0213,147,0.0031,64,33345,159,419,13.898766670193533,15.956743392682599,13.025210084033612,13.96093938022738
B1_SPUT_03,0.0,187,0.0034,116,65359,216,419,0.0,31.295877493914944,14.285714285714285,11.973461213068703
B1_AGST_06,0.0,202,0.0043,113,45829,235,419,0.0,21.938306150219443,18.067226890756302,11.61455198634641
B1_SCOP_01,0.0,20,0.0056,16,5268,21,419,0.0,2.503976848036491,23.52941176470588,9.912560075489651
B1_WFCL_03,0.0,47,0.0039,20,10501,71,419,0.0,5.011307664296529,16.386554621848738,7.5568833815988015
B1_PLAT_01,0.0,18,0.0041,9,6081,26,419,0.0,2.893516300285566,17.22689075630252,7.469459562578122
B1_THKZ_05,0.0,1,0.0035,3,2210,2,419,0.0,1.0387718726642008,14.705882352941178,6.090107315709311
B1_PLAT_02,0.0,6,0.0027,7,1499,9,419,0.0,0.6981045288153784,11.344537815126051,4.677436031813497
B1_AGST_02,0.166,25,0.0014,8,2165,26,419,0.7636432222063769,1.0172106483699714,5.88235294117647,2.8618405950271333
B1_SPUT_02,0.0,9,0.0005,1,1059,12,419,0.0,0.48728366904958126,2.1008403361344534,0.9377928682636977
B1_AGST_18,0.0,3,0.0,0,462,6,419,0.0,0.2012380934128064,0.0,0.040247618682561284
B1_THKZ_02,0.0,1,0.0,0,296,5,419,0.0,0.12170113268298294,0.0,0.02434022653659659
