Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,13.9503,100.0,365,0.1481,1785,0.0054,1.9669,206,112266,392,0.0002702702702702701,221,80.61846614386187,100.0,40.59405940594059,68.48501021992098,top_5_weighted_score,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_DEVP_03,14.196,50.0,125,0.2961,17370,0.0051,0.6372,63,38844,142,2.9729729729729808e-05,221,82.03836085089662,34.11935718323508,37.62376237623762,54.688720727500716,top_5_weighted_score,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_OVEN_01,16.6721,57.09,61,0.4319,18705,0.004,0.2413,42,24033,67,0.00112972972972973,221,96.34768638646334,20.829632022396297,26.732673267326728,53.398070265995294,top_5_weighted_score,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_COAT_07,15.1503,50.0,107,0.3922,23496,0.0044,0.4664,57,33966,115,0.0007297297297297299,221,87.55323882779227,29.7423887587822,30.693069306930692,53.24700100564563,top_5_weighted_score,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_DEVP_04,10.5785,30.0,84,0.265,10314,0.007,0.5922,46,22947,89,0.00187027027027027,221,61.13291069746477,19.855177797518103,56.43564356435643,50.9984572642321,top_5_weighted_score,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_SCOP_06,6.2559,52.17,98,0.1731,8412,0.0085,0.8318,70,33584,111,0.0033702702702702704,221,36.15270369450015,29.39962493382505,71.28712871287128,48.85585794971358,top5_particle_loss,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_COAT_04,5.8063,20.0,43,0.1566,7229,0.0097,0.4154,24,9343,46,0.00457027027027027,221,33.5544755289209,7.648478649043939,83.16831683168317,48.21881267405041,top5_particle_loss,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_ETCH_05,0.0,0.0,46,0.241,686,0.0114,0.5245,42,18701,49,0.00627027027027027,221,0.0,16.04529507299434,100.0,43.209059014598864,top5_particle_loss,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_AGST_09,2.6154,80.19,83,0.1482,17111,0.0071,0.5891,47,35096,89,0.0019702702702702702,221,15.114337064626305,30.75632363365546,57.42574257425742,35.167296582284585,top5_particle_loss,2026-W30 ~ 2026-W33,2026-W30,2026-W33
B1_ETCH_02,0.0,0.0,48,0.1007,192,0.0079,0.3812,20,10447,61,0.0027702702702702706,221,0.0,8.639084048920115,65.34653465346535,27.866430671170168,top5_particle_loss,2026-W30 ~ 2026-W33,2026-W30,2026-W33
