Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,9.3416,100.0,612,0.1311,4022,0.0047,2.853,439,215697,674,0.0003820512820512821,312,46.62291318344022,100.0,59.49367088607595,62.44663362780646,top_5_weighted_score,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_COAT_07,16.0705,50.0,152,0.3749,38333,0.0041,0.6217,113,61870,167,0.00021794871794871776,312,80.20612382402116,28.66986622151121,51.89873417721519,58.57591644479678,top_5_weighted_score,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_ETCH_03,20.0365,100.0,46,0.5656,135,0.0032,0.1461,17,16251,52,0.001117948717948718,312,100.0,7.516171663072964,40.50632911392405,57.70576597818422,top_5_weighted_score,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_DEVP_03,14.0741,50.0,170,0.2944,24881,0.0046,0.7833,113,62671,191,0.0002820512820512818,312,70.24230778828637,29.041292805638637,58.22784810126581,57.19632091694861,top_5_weighted_score,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_OVEN_01,15.6883,59.45,95,0.4232,28842,0.0041,0.3919,90,44257,101,0.00021794871794871776,312,78.29860504579142,20.50265470311377,51.89873417721519,56.1794666298254,top_5_weighted_score,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_COAT_04,6.5287,20.0,68,0.1714,10592,0.0079,0.5398,47,13543,71,0.0035820512820512827,312,32.584034137698694,6.260462312489857,100.0,54.28570611757745,top5_particle_loss,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_SCOP_06,5.1733,52.17,180,0.1594,18714,0.0063,1.1266,152,64997,196,0.001982051282051282,312,25.81937963217129,30.11986738077021,79.74683544303797,48.250459506237746,top5_particle_loss,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_ETCH_05,0.0,0.0,86,0.2438,918,0.0073,0.6319,80,33073,88,0.002982051282051282,312,0.0,15.316593633349562,92.40506329113923,40.02534404312561,top5_particle_loss,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_STEP_03,1.8672,33.33,102,0.1756,2044,0.0063,0.6462,40,14664,118,0.001982051282051282,312,9.318992838070521,6.780274048827989,79.74683544303797,36.98238612220899,top5_particle_loss,2026-W26 ~ 2026-W33,2026-W26,2026-W33
B1_PLAT_01,0.0,0.0,12,0.0891,160,0.0062,0.0738,9,4620,12,0.0018820512820512817,312,0.0,2.122835083814426,78.48101265822784,31.816972080054022,top5_particle_loss,2026-W26 ~ 2026-W33,2026-W26,2026-W33
