EVENT_ID,PSN,MAINTENANCE_START,MAINTENANCE_END,MAINTENANCE_USER,MAINTENANCE_CONTENT,AVG_PI_BEFORE,AVG_PI_AFTER,DIFF,P_VALUE,SIGNIFICANT_DROP
B1_DEVP_03_B1_DEVP_03#11-1_20260729190551,B1_DEVP_03#11-1,2026-07-29 20:00:00,2026-07-29 20:30:00,C4290,用酒精+無塵布清潔Paticle sensor周圍,0.18,0.573,0.394,1.0000,否
B1_COAT_04_B1_COAT_04#14-2_20260729190546,B1_COAT_04#14-2,2026-07-29 21:00:00,2026-07-29 22:00:00,G1337,用酒精+無塵布清潔Paticle sensor周圍,0.113,0.166,0.053,0.9551,否
B1_COAT_02_B1_COAT_02#1-0_20260729180339,B1_COAT_02#1-0,2026-07-29 20:30:00,2026-07-29 21:00:00,G1337,用酒精+無塵布清潔Paticle sensor周圍,0.243,0.45,0.206,1.0000,否
B1_SCOP_04_B1_SCOP_04#ST_20260729160942,B1_SCOP_04#ST,2026-07-29 21:30:00,2026-07-29 22:00:00,K23831,"用酒精+無塵布清潔Paticle sensor周圍

",0.303,0.062,-0.241,0.0000,是
B1_AGST_01_B1_AGST_01#PA_20260729154617,B1_AGST_01#PA,2026-07-29 20:00:00,2026-07-29 20:30:00,K23831,用酒精+無塵布清潔Paticle sensor周圍,0.168,0.155,-0.014,0.1980,否
B1_DEVP_03_B1_DEVP_03#1-0_20260729154358,B1_DEVP_03#1-0,2026-07-29 20:00:00,2026-07-29 20:30:00,C4290,用酒精+無塵布清潔Paticle sensor周圍,0.314,0.176,-0.138,0.0002,是
B1_COAT_07_B1_COAT_07#12-2_20260729153835,B1_COAT_07#12-2,2026-07-29 21:30:00,2026-07-29 22:00:00,G1337,用酒精+無塵布清潔Paticle sensor周圍,0.209,0.083,-0.125,0.0000,是
B1_STEP_02_B1_STEP_02#LP_20260729145154,B1_STEP_02#LP,2026-07-29 21:00:00,2026-07-29 21:30:00,K22661,用酒精+無塵布清潔Paticle sensor周圍,0.153,0.069,-0.084,0.0000,是
B1_AGST_10_B1_AGST_10#PA_20260729143117,B1_AGST_10#PA,2026-07-29 20:00:00,2026-07-29 20:30:00,F8952,用酒精+無塵布清潔Paticle sensor周圍,0.297,0.107,-0.19,0.0000,是
B1_OVEN_04_B1_OVEN_04#OVEN1_20260729124439,B1_OVEN_04#OVEN1,2026-07-29 20:00:00,2026-07-29 20:30:00,C4290,用酒精+無塵布清潔Paticle sensor周圍,0.317,0.203,-0.114,0.0000,是
B1_COAT_04_B1_COAT_04#12-1_20260729123743,B1_COAT_04#12-1,2026-07-29 21:00:00,2026-07-29 22:00:00,G1337,用酒精+無塵布清潔Paticle sensor周圍,0.249,0.081,-0.168,0.0000,是
B1_DEVP_02_B1_DEVP_02#14-2_20260729110157,B1_DEVP_02#14-2,2026-07-29 21:00:00,2026-07-29 21:30:00,K24461,用酒精+無塵布清潔Paticle sensor周圍,0.38,0.216,-0.164,0.0000,是
B1_OVEN_04_B1_OVEN_04#OVEN2_20260729103320,B1_OVEN_04#OVEN2,2026-07-29 20:00:00,2026-07-29 20:30:00,C4290,用酒精+無塵布清潔Paticle sensor周圍,0.261,0.411,0.15,0.9968,否
B1_DEVP_03_B1_DEVP_03#14-1_20260729101421,B1_DEVP_03#14-1,2026-07-29 20:00:00,2026-07-29 21:00:00,K24461,用酒精+無塵布清潔Paticle sensor周圍,0.538,0.669,0.132,1.0000,否
B1_DEVP_03_B1_DEVP_03#14-2_20260729080257,B1_DEVP_03#14-2,2026-07-29 21:00:00,2026-07-29 21:30:00,K24461,用酒精+無塵布清潔Paticle sensor周圍,0.37,0.331,-0.04,0.0000,是
B1_SCOP_04_B1_SCOP_04#PA_20260729071041,B1_SCOP_04#PA,2026-07-29 21:00:00,2026-07-29 21:30:00,K23831,用酒精+無塵布清潔Paticle sensor周圍,0.288,0.177,-0.112,0.0000,是
B1_COAT_04_B1_COAT_04#11-1_20260729061553,B1_COAT_04#11-1,2026-07-29 21:00:00,2026-07-29 22:00:00,G1337,用酒精+無塵布清潔Paticle sensor周圍,0.138,0.559,0.421,1.0000,否
B1_DEVP_04_B1_DEVP_04#13-2_20260729021232,B1_DEVP_04#13-2,2026-07-29 21:30:00,2026-07-29 22:00:00,K24461,酒精+無塵布清潔Paticle sensor周圍,0.379,0.131,-0.248,0.0000,是
B1_AGST_08_B1_AGST_08#PA_20260729020249,B1_AGST_08#PA,2026-07-29 21:30:00,2026-07-29 22:00:00,K23831,用酒精+無塵布清潔Paticle sensor周圍,0.277,0.121,-0.157,0.0000,是
